Name|ID|Schedule|Day_off|Working|
Maria Rocha Figueiras|20100020|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Mario Rocha Figueiras|20100021|08:00:00-16:00:00/00:00:00-08:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Antonio Rocha Figueiras|20100022|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Rafael Rocha Figueiras|20100023|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/08:00:00-16:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Eduardo Rocha Figueiras|2010024|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Raquel Rocha Figueiras|20100025|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Miguel Rocha Figueiras|20100026|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Martim Rocha Figueiras|20100027|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Pedro Rocha Figueiras|20100028|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|
Afonso Rocha Figueiras|20100029|00:00:00-08:00:00/08:00:00-16:00:00/08:00:00-16:00:00/16:00:00-23:59:59/00:00:00-08:00:00/08:00:00-16:00:00/00:00:00-08:00:00|6f|No|

